PlInf_City,PlInf_Pr/St,PlInf_Cntry,PlInf_Nat,PlInf_Hand,PlInf_CorsicaID,PlInf_H-Ref_Name,PlInf_Last_Name,PlInf_First_Name,PlInf_Position,PlInf_Team,Other_Injuries,ContInf_NMC,ContInf_Status,Eqip_Stick,Eqip_Glove,Eqip_Pants,Eqip_Helmet,Eqip_Skates
Moscow,,RUS,RUS,R,NIKITA.ZAITSEV,Nikita Zaitsev,Zaitsev,Nikita,D,TOR,"Illness, Lower body",M-NTC,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,Warrior - Covert PX2,Bauer - Nexus 1N
West Seneca,NY,USA,USA,R,LEE.STEMPNIAK,Lee Stempniak,Stempniak,Lee,RW,CAR,Upper body,,UFA,Easton - Stealth CX,Warrior - Dynasty AX1,Bauer,Warrior - Covert PX2,Bauer - Vapor 1X 2.0
Prince George,BC,CAN,CAN,L,BRANDON.MANNING,Brandon Manning,Manning,Brandon,D,PHI,Undisclosed,,UFA,CCM - Ultra Tacks,CCM - Tacks,CCM,CCM - Vector V08,Bauer - Supreme 1S
Penza,,RUS,RUS,R,ANTON.SLEPYSHEV,Anton Slepyshev,Slepyshev,Anton,LW,EDM,"Groin, Lower body",,RFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,Bauer - Vapor 1X
Herning,,DNK,DNK,R,OLIVER.BJORKSTRAND,Oliver Bjorkstrand,Bjorkstrand,Oliver,RW,CBJ,,,RFA,TRUE - XCORE 9,TRUE - Pro,Bauer,CCM - Vector V08,TRUE - Pro Custom
Pickering,ON,CAN,CAN,L,DRAKE.CAGGIULA,Drake Caggiula,Caggiula,Drake,LW,EDM,"Mouth, Undisclosed",NTC,RFA,CCM - Super Tacks 2.0,CCM - Quicklite,Warrior,Bauer - Re-Akt 100,Bauer - Vapor 1X
Grand Rapids,MN,USA,USA,L,ALEX.GOLIGOSKI,Alex Goligoski,Goligoski,Alex,D,ARI,Illness,NTC,UFA,CCM - Super Tacks 2.0,CCM - HG12,Easton,CCM - Vector V08,CCM - JetSpeed FT1
Sternberk,,CZE,CZE,R,DAVID.KREJCI,David Krejci,Krejci,David,C,BOS,Upper body,NMC,UFA,CCM - Ribcor Trigger ASY,CCM - Ultra Tacks,CCM,CCM - Resistance,Bauer - Vapor 1X 2.0
Buffalo,NY,USA,USA,L,MILES.WOOD,Miles Wood,Wood,Miles,LW,NJD,Upper body,,RFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,Bauer - Supreme 1S
Mississauga,ON,CAN,CAN,L,NICK.PAUL,Nick Paul,Paul,Nick,LW,OTT,,,RFA,,,,,
Kitchener,ON,CAN,CAN,R,JUSTIN.AUGER,Justin Auger,Auger,Justin,RW,LAK,,,RFA,,,,,
Ann Arbor,MI,USA,USA,L,ANDREW.COPP,Andrew Copp,Copp,Andrew,C,WPG,,,RFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt 100,Bauer - Vapor 1X
Hamilton,ON,CAN,CAN,L,BEN.HARPUR,Ben Harpur,Harpur,Ben,D,OTT,Shoulder,,RFA,CCM - Jetspeed,CCM - HG12,CCM,CCM - Vector V08,Bauer - Supreme 1S
Hodonin,,CZE,CZE,L,MICHAL.KEMPNY,Michal Kempny,Kempny,Michal,D,"CHI, WSH",Illness,,UFA,,,,,
Ivry-sur-Seine,,FRA,FRA,L,YOHANN.AUVITU,Yohann Auvitu,Auvitu,Yohann,D,EDM,Foot,NMC,UFA,Warrior - Covert QR EDGE,Warrior - Covert QRL,Bauer,CCM - Vector V08,Graf - Ultra F 60
Mississauga,ON,CAN,CAN,R,RYAN.STROME,Ryan Strome,Strome,Ryan,RW/C,EDM,,,RFA,Bauer - Supreme 1S,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,TRUE - Pro Custom
Togliatti,,RUS,RUS,L,ALEXEI.EMELIN,Alexei Emelin,Emelin,Alexei,D,NSH,Upper body,,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,CCM - Vector V08,Bauer - Supreme 1S
Klagenfurt,,AUT,SWE,L,ANDRE.BURAKOVSKY,Andre Burakovsky,Burakovsky,Andre,LW,WSH,Thumb,,RFA,,,,,
Grosse Pointe,MI,USA,USA,R,MICHAEL.MCCARRON,Michael McCarron,McCarron,Michael,RW,MTL,,,RFA,,,,,
Ostersund,,SWE,SWE,L,ALEX.EDLER,Alexander Edler,Edler,Alexander,D,VAN,Knee,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Bauer - Re-Akt 100,Bauer - Supreme 1S
Eisenstadt,,AUT,SVK,L,MARKO.DANO,Marko Dano,Dano,Marko,C,WPG,,,RFA,CCM - Super Tacks 2.0,CCM - Quicklite,CCM,CCM - Vector V08,Bauer - Vapor 1X
Regina,SK,CAN,CAN,L,MORGAN.KLIMCHUK,Morgan Klimchuk,Klimchuk,Morgan,LW,CGY,,,RFA,,,,,
Georgetown,ON,CAN,CAN,L,JASON.DICKINSON,Jason Dickinson,Dickinson,Jason,C,DAL,,,RFA,,,,,
Hilton Head Isl.,SC,USA,USA,R,RYAN.HARTMAN,Ryan Hartman,Hartman,Ryan,LW/RW,"CHI, NSH",Upper body,,RFA,CCM - Jetspeed,CCM - 4-Roll Pro,CCM,CCM - Vector V08,CCM - Ribcor 50K
Anaheim,CA,USA,USA,L,IAN.MCCOSHEN,Ian McCoshen,McCoshen,Ian,D,FLA,Upper body,,RFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Orillia,ON,CAN,CAN,L,CHRIS.BIGRAS,Chris Bigras,Bigras,Chris,D,COL,Illness,,RFA,,,,,
New Haven,CT,USA,USA,L,ADAM.ERNE,Adam Erne,Erne,Adam,LW,TBL,Lower body,,RFA,CCM - Jetspeed,CCM - Quicklite,CCM,CCM - Vector V08,CCM - JetSpeed FT1
Arvika,,SWE,SWE,L,JACOB.DE LA ROSE,Jacob de La Rose,de la Rose,Jacob,LW,MTL,,,RFA,Bauer - Nexus 1N,Easton - Synergy GX,CCM,Bauer - Re-Akt,Bauer - Vapor 1X
Northbrook,IL,USA,USA,R,J.T..COMPHER,J.T. Compher,Compher,J.T.,LW,COL,Upper body,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
St. Petersburg,,RUS,RUS,R,VALENTIN.ZYKOV,Valentin Zykov,Zykov,Valentin,LW,CAR,,,RFA,,,,,
Repentigny,QC,CAN,CAN,L,LAURENT.DAUPHIN,Laurent Dauphin,Dauphin,Laurent,C,ARI,Lower body,,RFA,CCM - Super Tacks,CCM - CL Pro,CCM,CCM - Vector V08,CCM - JetSpeed
Cornwall,ON,CAN,CAN,L,REMI.ELIE,Remi Elie,Elie,Remi,LW,DAL,"Illness, Lower body",,RFA,,,,,
Uppsala,,SWE,SWE,L,ROBERT.HAGG,Robert Hagg,Hagg,Robert,D,PHI,Lower body,,RFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Bronxville,NY,USA,USA,R,STEVEN.SANTINI,Steven Santini,Santini,Steven,D,NJD,Upper body,,RFA,CCM - Super Tacks,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Delta,BC,CAN,CAN,L,NIC.PETAN,Nic Petan,Petan,Nic,LW,WPG,,,RFA,,,,,
Boras,,SWE,SWE,L,GUSTAV.OLOFSSON,Gustav Olofsson,Olofsson,Gustav,D,MIN,Concussion,,RFA,CCM - Super Tacks,CCM - CL Pro,CCM,CCM - Vector V08,Bauer - Vapor 1X
Calgary,AB,CAN,CAN,L,DILLON.HEATHERINGTON,Dillon Heatherington,Heatherington,Dillon,D,DAL,,M-NTC,RFA,,,,,
Stockholm,,SWE,SWE,L,CARL.DAHLSTROM,Carl Dahlstrom,Dahlstrom,Carl,D,CHI,,,RFA,,,,,
Buffalo,NY,USA,USA,R,JUSTIN.BAILEY,Justin Bailey,Bailey,Justin,RW,BUF,Lower body,,RFA,,,,,
Winnipeg,MB,CAN,CAN,R,MADISON.BOWEY,Madison Bowey,Bowey,Madison,D,WSH,,NMC,RFA,,,,,
Piikkio,,FIN,FIN,L,ARTTURI.LEHKONEN,Artturi Lehkonen,Lehkonen,Artturi,LW,MTL,Lower body,,RFA,Easton - Stealth CX,Easton - Synergy GX,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
Thunder Bay,ON,CAN,CAN,L,MARC.STAAL,Marc Staal,Staal,Marc,D,NYR,"Hip, Neck",,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
LaSalle,QC,CAN,CAN,L,WILLIAM.CARRIER,William Carrier,Carrier,William,LW,VGK,Upper body,,RFA,TRUE - A6.0 SBP,TRUE - Pro,Bauer,CCM - Vector V08,TRUE - Pro Custom
Sudbury,ON,CAN,CAN,L,TYLER.BERTUZZI,Tyler Bertuzzi,Bertuzzi,Tyler,LW,DET,,,RFA,CCM - Ribcor Trigger ASY,CCM - HG12,CCM,CCM - Vector V08,TRUE - Pro Custom
Greenfield Park,QC,CAN,CAN,R,TORREY.MITCHELL,Torrey Mitchell,Mitchell,Torrey,C,"MTL, LAK",Illness,,UFA,Easton - Synergy GX,Bauer - Vapor 1X,Warrior,Bauer - 4500,Bauer - Nexus 1N
Rochester,NY,USA,USA,R,RYAN.CALLAHAN,Ryan Callahan,Callahan,Ryan,RW,TBL,Upper body,"M-NTC, NMC",UFA,Bauer - Supreme 1S,Bauer - Supreme 1S,Bauer,Bauer - 4500,Bauer - Supreme 1S
Toronto,ON,CAN,CAN,L,MIKE.LIAMBAS,Mike Liambas,Liambas,Mike,LW,ANA,Undisclosed,,UFA,CCM - Super Tacks 2.0,CCM - 4-Roll Pro,CCM,CCM - Resistance,CCM - Super Tacks
Tarrytown,NY,USA,USA,R,BRETT.PESCE,Brett Pesce,Pesce,Brett,D,CAR,Upper body,,UFA,Bauer - Supreme 1S,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Lethbridge,AB,CAN,CAN,R,KRIS.VERSTEEG,Kris Versteeg,Versteeg,Kris,RW,CGY,Hip,,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,CCM,CCM - Vector V08,CCM - JetSpeed FT1
Ottawa,ON,CAN,CAN,R,NICHOLAS.BAPTISTE,Nicholas Baptiste,Baptiste,Nicholas,RW,BUF,,,RFA,,,,,
Halifax,NS,CAN,CAN,R,NATHAN.MACKINNON,Nathan MacKinnon,MacKinnon,Nathan,C,COL,Upper body,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - Ultra Tacks,CCM,CCM - Vector V08,CCM - Ribcor 70K
Tampere,,FIN,FIN,L,ALEKSANDER.BARKOV,Aleksander Barkov,Barkov,Aleksander,C,FLA,Upper body,,UFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - 5100,Bauer - Vapor 1X
Ste-Agathe,QC,CAN,CAN,L,JONATHAN.DROUIN,Jonathan Drouin,Drouin,Jonathan,LW/C,MTL,"Lower body, Upper body",,UFA,Warrior - Covert Super Dolomite,CCM - HG12,CCM,CCM - Vector V08,CCM - JetSpeed FT1
Arlington,TX,USA,USA,R,SETH.JONES,Seth Jones,Jones,Seth,D,CBJ,Upper body,,UFA,CCM - Super Tacks 2.0,CCM - CL Pro,CCM,CCM - Resistance,CCM - Super Tacks
Boden,,SWE,SWE,R,ELIAS.LINDHOLM,Elias Lindholm,Lindholm,Elias,C,CAR,Illness,,RFA,Warrior - Alpha QX,Warrior - Covert QR1,CCM,Warrior - Covert PX2,Bauer - Vapor 1X 2.0
Brampton,ON,CAN,CAN,L,SEAN.MONAHAN,Sean Monahan,Monahan,Sean,C,CGY,Wrist,,UFA,Bauer - Vapor 1X Lite,Bauer - Nexus 1000,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Hamilton,ON,CAN,CAN,L,DARNELL.NURSE,Darnell Nurse,Nurse,Darnell,D,EDM,,,RFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,Bauer - Supreme 1S
Turku,,FIN,FIN,R,RASMUS.RISTOLAINEN,Rasmus Ristolainen,Ristolainen,Rasmus,D,BUF,Upper body,,UFA,Bauer - Nexus 1N,Warrior - Dynasty AX1,Bauer,CCM - Vector V08,Bauer - Supreme 1S
London,ON,CAN,CAN,L,BO.HORVAT,Bo Horvat,Horvat,Bo,C,VAN,Ankle,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Lac-Beauport,QC,CAN,CAN,L,SAMUEL.MORIN,Samuel Morin,Morin,Samuel,D,PHI,,,RFA,,,,,
Winnipeg,MB,CAN,CAN,L,MAX.DOMI,Max Domi,Domi,Max,LW,ARI,,,RFA,Bauer - Vapor 1X Lite,Warrior - Alpha QX,Warrior,Bauer - Re-Akt 100,Bauer - Vapor 1X 2.0
Calgary,AB,CAN,CAN,L,JOSH.MORRISSEY,Josh Morrissey,Morrissey,Josh,D,WPG,,,RFA,Warrior - Covert QR EDGE,Warrior - Alpha QX,Warrior,Warrior - Covert PX2,Bauer - Vapor 1X
Stockholm,,SWE,SWE,L,ALEX.WENNBERG,Alexander Wennberg,Wennberg,Alexander,C,CBJ,Upper body,,UFA,CCM - RBZ Revolution,CCM - Ultra Tacks,CCM,CCM - Resistance,CCM - JetSpeed FT1
Dauphin,MB,CAN,CAN,R,RYAN.PULOCK,Ryan Pulock,Pulock,Ryan,D,NYI,,NMC,RFA,CCM - Ribcor 40K,CCM - Quicklite,Bauer,Bauer - Re-Akt,TRUE - Pro Custom
Moscow,,RUS,RUS,L,NIKITA.ZADOROV,Nikita Zadorov,Zadorov,Nikita,D,COL,,"M-NTC, NMC",RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt 100,Bauer - Supreme 1S
Salmon Arm,BC,CAN,CAN,R,CURTIS.LAZAR,Curtis Lazar,Lazar,Curtis,RW/C,CGY,,NMC,RFA,Bauer - Nexus 1N,Bauer - Supreme TotalOne MX3,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Winterthur,,CHE,CHE,L,MIRCO.MUELLER,Mirco Mueller,Mueller,Mirco,D,NJD,Collarbone,,RFA,CCM - RBZ Revolution,CCM - HG50,CCM,CCM - Vector V08,Bauer - Supreme 1S
Prague,,CZE,CZE,R,RADKO.GUDAS,Radko Gudas,Gudas,Radko,D,PHI,Upper body,,UFA,CCM - Super Tacks,CCM - Quicklite,Bauer,CCM - Resistance,CCM - Ribcor 50K
Longueuil,QC,CAN,CAN,L,ANTHONY.MANTHA,Anthony Mantha,Mantha,Anthony,RW,DET,Groin,,RFA,CCM - Jetspeed,CCM - HG12,CCM,CCM - Vector V08,CCM - JetSpeed FT1
Laval,QC,CAN,CAN,L,FREDERIK.GAUTHIER,Frederik Gauthier,Gauthier,Frederik,C,TOR,,,RFA,,,,,
Halifax,NS,CAN,CAN,L,BRAD.MARCHAND,Brad Marchand,Marchand,Brad,LW,BOS,Upper body,NMC,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,Bauer - Supreme 1S
Buffalo,NY,USA,USA,L,NICK.FOLIGNO,Nick Foligno,Foligno,Nick,LW,CBJ,Lower body,M-NTC,UFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - 4500,Bauer - Vapor 1X 2.0
Laval,QC,CAN,CAN,R,JEAN-SEBASTIEN.DEA,Jean-Sebastien Dea,Dea,Jean-Sebastien,C,PIT,,,RFA,,,,,
Charlottetown,PE,CAN,CAN,L,ROSS.JOHNSTON,Ross Johnston,Johnston,Ross,LW,NYI,,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - Super Tacks,CCM,CCM - Vector V08,TRUE - Pro Custom
Kindersley,SK,CAN,CAN,R,DEREK.DORSETT,Derek Dorsett,Dorsett,Derek,RW,VAN,Neck,,UFA,,,,,
Battleford,SK,CAN,CAN,L,COLBY.CAVE,Colby Cave,Cave,Colby,C,BOS,,,RFA,,,,,
Calgary,AB,CAN,CAN,L,TAYLOR.HALL,Taylor Hall,Hall,Taylor,LW,NJD,"Hand, Knee",NTC,UFA,Easton - Stealth CX,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Bonney Lake,WA,USA,USA,R,DYLAN.GAMBRELL,Dylan Gambrell,Gambrell,Dylan,C,SJS,,,RFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Bauer - 4500,Bauer - Vapor 1X 2.0
Boston,MA,USA,USA,L,WILL.O'NEILL,Will O'Neill,O'Neill,Will,D,PHI,,,UFA,,,,,
Alton,IL,USA,USA,L,DAKOTA.MERMIS,Dakota Mermis,Mermis,Dakota,D,ARI,,,RFA,,,,,
Bloomington,MN,USA,USA,R,ERIK.JOHNSON,Erik Johnson,Johnson,Erik,D,COL,Upper body,,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Easton - E400,TRUE - Pro Custom
St. Paul,MN,USA,USA,R,KYLE.OKPOSO,Kyle Okposo,Okposo,Kyle,RW,BUF,"Concussion, Illness","M-NTC, NMC",UFA,Easton - Stealth CX,Warrior - Alpha QX,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Elk River,MN,USA,USA,L,BLAKE.HILLMAN,Blake Hillman,Hillman,Blake,D,CHI,,,RFA,Warrior - Alpha QX,Warrior - Alpha QX,Warrior,Bauer - 4500,Bauer - Vapor 1X 2.0
Salt Lake City,UT,USA,USA,R,TREVOR.LEWIS,Trevor Lewis,Lewis,Trevor,C,LAK,"Concussion, Upper body",,UFA,Bauer - Supreme 1S,Bauer - Vapor APX2,Bauer,Bauer - 4500,Bauer - Vapor 1X
Burlington,ON,CAN,CAN,R,JOSH.ANDERSON,Josh Anderson,Anderson,Josh,RW,CBJ,Knee,,RFA,TRUE - A6.0 SBP,CCM - 4-Roll Pro,Bauer,CCM - Vector V08,Bauer - Vapor 1X 2.0
Toronto,ON,CAN,CAN,L,ANDREW.COGLIANO,Andrew Cogliano,Cogliano,Andrew,LW,ANA,,NMC,UFA,Warrior - Covert QRL,Easton - Pro,Warrior,Bauer - 4500,Bauer - Nexus 8000
Narva,,EST,FIN,L,LEO.KOMAROV,Leo Komarov,Komarov,Leo,C,TOR,Lower body,,UFA,Warrior - Covert QR EDGE,Bauer - BH Pro,Bauer,Bauer - 4500,Graf - Ultra F 60
Fergus,ON,CAN,CAN,L,JAMIE.MCGINN,Jamie McGinn,McGinn,Jamie,LW,FLA,Upper body,,UFA,Bauer - Vapor 1X Lite,CCM - Quicklite,Bauer,Bauer - 4500,CCM - Super Tacks
New Westminster,BC,CAN,CAN,L,BRENDEN.DILLON,Brenden Dillon,Dillon,Brenden,D,SJS,,,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Bauer,Bauer - 4500,TRUE - Pro Custom
Saskatoon,SK,CAN,CAN,R,ERIC.GRYBA,Eric Gryba,Gryba,Eric,D,EDM,,,UFA,,,,,
Laval,QC,CAN,CAN,L,GIOVANNI.FIORE,Giovanni Fiore,Fiore,Giovanni,LW,ANA,,,RFA,,,,,
Vancouver,BC,CAN,CAN,L,MILAN.LUCIC,Milan Lucic,Lucic,Milan,LW,EDM,,M-NTC,UFA,CCM - Ribcor Trigger ASY,Bauer - Vapor 1X,Bauer,Bauer - 9900,Bauer - Supreme 1S
Vancouver,BC,CAN,CAN,R,TROY.BROUWER,Troy Brouwer,Brouwer,Troy,RW,CGY,Facial,NMC,UFA,Bauer - Nexus 1N,Warrior - Covert QRL,Bauer,Bauer - 5100,Bauer - Vapor 1X 2.0
Oulu,,FIN,FIN,L,MIKAEL.GRANLUND,Mikael Granlund,Granlund,Mikael,RW,MIN,Groin,,UFA,Warrior - Covert QRL,Warrior - Covert QR1,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
Vihti,,FIN,FIN,L,EELI.TOLVANEN,Eeli Tolvanen,Tolvanen,Eeli,RW,NSH,,,RFA,CCM - Jetspeed,CCM - 4-Roll Pro,CCM,CCM - Fitlite 3DS,CCM - JetSpeed FT1
Moscow,,RUS,RUS,L,MAXIM.MAMIN,Maxim Mamin,Mamin,Maxim,LW/C,FLA,,,RFA,Bauer - Vapor 1X Lite,CCM - Ultra Tacks,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Warren,MI,USA,USA,L,MATT.HUNWICK,Matt Hunwick,Hunwick,Matt,D,PIT,"Undisclosed, Upper body",M-NTC,UFA,Bauer - Nexus 1N,Bauer - Supreme TotalOne MX3,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
Toronto,ON,CAN,CAN,R,CHRIS.STEWART,Chris Stewart,Stewart,Chris,RW,"MIN, CGY",,,UFA,Warrior - Covert QR EDGE,Warrior - Covert QR1,Warrior,Bauer - 4500,CCM - Tacks
Medicine Hat,AB,CAN,CAN,L,CURTIS.VALK,Curtis Valk,Valk,Curtis,LW/C,FLA,,,RFA,,,,,
Windsor,ON,CAN,CAN,L,MATT.BELESKEY,Matt Beleskey,Beleskey,Matt,LW,"BOS, NYR",,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - 4-Roll Pro,Warrior,CCM - Vector V08,TRUE - Pro Custom
Burlington,ON,CAN,CAN,R,JOSH.JOORIS,Josh Jooris,Jooris,Josh,RW,"CAR, PIT",Lower body,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,Bauer - Supreme 1S
Edmonton,AB,CAN,CAN,R,BRYAN.LITTLE,Bryan Little,Little,Bryan,C,WPG,,,UFA,Warrior - Alpha QX,Bauer - Vapor 1X,Bauer,Bauer - 4500,Bauer - Vapor 1X 2.0
Richmond Hill,ON,CAN,CAN,L,RYAN.LOMBERG,Ryan Lomberg,Lomberg,Ryan,LW,CGY,,,RFA,,,,,
Braintree,MA,USA,USA,R,ADAM.GAUDETTE,Adam Gaudette,Gaudette,Adam,C,VAN,,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Welland,ON,CAN,CAN,R,CAL.CLUTTERBUCK,Cal Clutterbuck,Clutterbuck,Cal,RW,NYI,Undisclosed,,UFA,Bauer - Vapor 1X Lite,Easton - Stealth STH,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
Lipetsk,,RUS,RUS,L,DMITRY.KULIKOV,Dmitry Kulikov,Kulikov,Dmitry,D,WPG,Lower body,,UFA,Warrior - Covert QR EDGE,Warrior - Alpha QX,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Cherepovets,,RUS,RUS,L,VADIM.SHIPACHYOV,Vadim Shipachyov,Shipachyov,Vadim,LW/C,VGK,,,,,,,,
Whitby,ON,CAN,CAN,L,JAMES.NEAL,James Neal,Neal,James,LW,VGK,"Hand, Illness",M-NTC,UFA,Easton - Stealth CX,Easton - Pro,Bauer,CCM - Resistance,Bauer - Vapor 1X 2.0
Torrance,CA,USA,USA,L,KERBY.RYCHEL,Kerby Rychel,Rychel,Kerby,LW,MTL,,,RFA,,,,,
Hearst,ON,CAN,CAN,R,CLAUDE.GIROUX,Claude Giroux,Giroux,Claude,C,PHI,,,UFA,Bauer - Vapor 1X LE,Bauer - Vapor APX2,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X
Peterborough,ON,CAN,CAN,R,MIKE.FISHER,Mike Fisher,Fisher,Mike,C,NSH,,,UFA,Warrior - Alpha QX,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt 100,Bauer - Supreme 1S
Montreal,QC,CAN,CAN,R,ALEX.BIEGA,Alex Biega,Biega,Alex,D,VAN,,,UFA,CCM - Super Tacks,CCM - 4-Roll Pro,CCM,CCM - Vector V08,CCM - JetSpeed
Toronto,ON,CAN,CAN,L,DANIEL.WINNIK,Daniel Winnik,Winnik,Daniel,LW,MIN,,,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - 4500,CCM - Super Tacks
Thunder Bay,ON,CAN,CAN,L,JORDAN.STAAL,Jordan Staal,Staal,Jordan,C,CAR,,,UFA,Bauer - Supreme 1S,Bauer - BH Pro,Bauer,Bauer - 5100,Bauer - Vapor 1X 2.0
Virginia,MN,USA,USA,R,MATT.NISKANEN,Matt Niskanen,Niskanen,Matt,D,WSH,Upper body,,UFA,,,,,
Toronto,ON,CAN,CAN,L,PETER.HOLLAND,Peter Holland,Holland,Peter,C,NYR,,,UFA,Easton - Synergy GX,CCM - Ultra Tacks,CCM,Bauer - Re-Akt 100,Bauer - Vapor 1X
Prince Albert,SK,CAN,CAN,R,ADAM.CRACKNELL,Adam Cracknell,Cracknell,Adam,RW,"DAL, NYR",,,UFA,,,,,
Brampton,ON,CAN,CAN,R,TYLER.SEGUIN,Tyler Seguin,Seguin,Tyler,C,DAL,,,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Easton - E400,Bauer - Vapor 1X 2.0
Sorel,QC,CAN,CAN,L,FRANCOIS.BEAUCHEMIN,Francois Beauchemin,Beauchemin,Francois,D,ANA,,,UFA,CCM - Super Tacks 2.0,CCM - CL Pro,CCM,CCM - Fitlite,CCM - Super Tacks
Villach,,AUT,AUT,L,MICHAEL.GRABNER,Michael Grabner,Grabner,Michael,RW,"NYR, NJD",Flu,,UFA,STX - Stallion HPR,STX - Surgeon 500,Bauer,CCM - Vector V08,Bauer - Supreme 1S
Rochester,NY,USA,USA,R,BRIAN.GIONTA,Brian Gionta,Gionta,Brian,RW,BOS,,,UFA,CCM - Ribcor Trigger ASY,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,Bauer - Nexus 1N
Madison,WI,USA,USA,R,PHIL.KESSEL,Phil Kessel,Kessel,Phil,RW,PIT,,M-NTC,UFA,Easton - Stealth CX,Bauer - Nexus 1000,CCM,Bauer - 7500,Bauer - Vapor APX2
Toronto,ON,CAN,CAN,R,JASON.SPEZZA,Jason Spezza,Spezza,Jason,C,DAL,Back,"M-NTC, NMC",UFA,Easton - Stealth CX,Warrior - Luxe,CCM,Easton - E400,CCM - Ribcor 70K
Rødovre,,DNK,DNK,R,JANNIK.HANSEN,Jannik Hansen,Hansen,Jannik,RW,SJS,,M-NTC,UFA,Bauer - Vapor 1X Lite,CCM - 4-Roll Pro,CCM,Bauer - Re-Akt 100,Bauer - Nexus 7000
Turku,,FIN,FIN,L,MIKKO.KOIVU,Mikko Koivu,Koivu,Mikko,C,MIN,,NMC,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,CCM - Vector V08,Bauer - Nexus 1N
Munich,,DEU,DEU,R,KORBINIAN.HOLZER,Korbinian Holzer,Holzer,Korbinian,D,ANA,,NMC,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,Bauer - Re-Akt,TRUE - Pro Custom
Smithers,BC,CAN,CAN,L,DAN.HAMHUIS,Dan Hamhuis,Hamhuis,Dan,D,DAL,Groin,NTC,UFA,Easton - Stealth CX,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Pardubice,,CZE,CZE,R,ALES.HEMSKY,Ales Hemsky,Hemsky,Ales,RW,MTL,Concussion,,UFA,Easton - Stealth CX,Easton - Synergy GX,Bauer,Easton - E400,Bauer - Supreme 1S
Gävle,,SWE,SWE,L,NICKLAS.BACKSTROM,Nicklas Backstrom,Backstrom,Nicklas,C,WSH,Illness,M-NTC,UFA,,,,,
