PlInf_City,PlInf_Pr/St,PlInf_Cntry,PlInf_Nat,PlInf_Hand,PlInf_CorsicaID,PlInf_H-Ref_Name,PlInf_Last_Name,PlInf_First_Name,PlInf_Position,PlInf_Team,Other_Injuries,ContInf_NMC,ContInf_Status,Eqip_Stick,Eqip_Glove,Eqip_Pants,Eqip_Helmet,Eqip_Skates
Carp,ON,CAN,CAN,L,CALVIN.DE HAAN,Calvin de Haan,de Haan,Calvin,D,NYI,Upper body,,UFA,TRUE - A6.0 SBP,TRUE - Pro,Bauer,Bauer - 4500,TRUE - Pro Custom
Windsor,ON,CAN,CAN,R,ZACK.KASSIAN,Zack Kassian,Kassian,Zack,RW,EDM,"Leg, Undisclosed",NTC,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,CCM,Bauer - 4500,TRUE - Pro Custom
Zilina,,SVK,SVK,L,PETER.CEHLARIK,Peter Cehlarik,Cehlarik,Peter,LW,BOS,Leg,,RFA,,,,,
Brooklyn,NY,USA,USA,R,KEVIN.LABANC,Kevin Labanc,Labanc,Kevin,RW,SJS,,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,Bauer - Vapor 1X
Eden Prairie,MN,USA,USA,L,NICK.LEDDY,Nick Leddy,Leddy,Nick,D,NYI,Undisclosed,,UFA,Bauer - Supreme 1S,Bauer - Nexus 1000,Bauer,Bauer - 4500,Bauer - Supreme 1S
Peterborough,ON,CAN,CAN,R,COREY.PERRY,Corey Perry,Perry,Corey,RW,ANA,Leg,NMC,UFA,Warrior - Covert QRL,Warrior - Covert QRL,Warrior,Bauer - Re-Akt,Bauer - Nexus 8000
Boxford,MA,USA,USA,L,CHRIS.KREIDER,Chris Kreider,Kreider,Chris,LW,NYR,Blood clots,,UFA,Bauer - Nexus 1N,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Stockholm,,SWE,SWE,L,JACOB.JOSEFSON,Jacob Josefson,Josefson,Jacob,C,BUF,Lower body,,UFA,Easton - Stealth CX,Bauer - Vapor 1X,Bauer,Bauer - 4500,Bauer - Nexus 1N
Winnetka,IL,USA,USA,L,JOHN.MOORE,John Moore,Moore,John,D,NJD,,M-NTC,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Bauer - 4500,Bauer - Vapor 1X
Davidson,SK,CAN,CAN,L,BRAYDEN.MCNABB,Brayden McNabb,McNabb,Brayden,D,VGK,Upper body,,UFA,CCM - Ribcor Trigger ASY,CCM - HG12,CCM,CCM - Vector V08,CCM - Super Tacks
Toronto,ON,CAN,CAN,L,REILLY.SMITH,Reilly Smith,Smith,Reilly,RW,VGK,Upper body,,UFA,CCM - Ribcor Reckoner,Bauer - Vapor 1X,Bauer,Bauer - 4500,Bauer - Supreme 1S
Grand Prairie,AB,CAN,CAN,R,CARTER.ROWNEY,Carter Rowney,Rowney,Carter,RW,PIT,Upper body,,UFA,CCM - Super Tacks 2.0,CCM - CL Pro,CCM,CCM - Fitlite,Bauer - Nexus 1N
Ilava,,SVK,SVK,L,TOMAS.TATAR,Tomas Tatar,Tatar,Tomas,LW,"DET, VGK",,,UFA,CCM - Jetspeed,CCM - HG12,CCM,CCM - Resistance,CCM - JetSpeed FT1
Kauniainen,,FIN,FIN,L,KALLE.KOSSILA,Kalle Kossila,Kossila,Kalle,LW/C,ANA,,,RFA,,,,,
Canton,MA,USA,USA,L,KEVIN.ROONEY,Kevin Rooney,Rooney,Kevin,C,NJD,,,RFA,,,,,
San Diego,CA,USA,USA,R,CHAD.RUHWEDEL,Chad Ruhwedel,Ruhwedel,Chad,D,PIT,Upper body,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - 4-Roll Pro,CCM,CCM - Vector V08,Bauer - Vapor 1X 2.0
Toronto,ON,CAN,CAN,L,BRANDON.TANEV,Brandon Tanev,Tanev,Brandon,LW,WPG,"Lower body, Upper body",,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Novokuznetsk,,RUS,RUS,L,DMITRY.ORLOV,Dmitry Orlov,Orlov,Dmitry,D,WSH,,,UFA,,,,,
Boston,MA,USA,USA,L,PAUL.CAREY,Paul Carey,Carey,Paul,C,NYR,,,UFA,CCM - Super Tacks 2.0,STX - Surgeon 500,CCM,Bauer - 4500,Bauer - Vapor 1X
Toronto,ON,CAN,CAN,L,BRANDON.PIRRI,Brandon Pirri,Pirri,Brandon,RW/C,VGK,,,UFA,,,,,
Biddeford,ME,USA,USA,L,BRIAN.DUMOULIN,Brian Dumoulin,Dumoulin,Brian,D,PIT,Concussion,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Warrior - Krown PX3,Bauer - Vapor 1X 2.0
Martin,,SVK,SVK,L,RICHARD.PANIK,Richard Panik,Panik,Richard,RW,"CHI, ARI",Lower body,,UFA,Bauer - Nexus 1N,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
Holland,MI,USA,USA,R,LUKE.WITKOWSKI,Luke Witkowski,Witkowski,Luke,RW,DET,,NMC,UFA,CCM - Ribcor Trigger 2 PMT,CCM - 4-Roll Pro,CCM,Bauer - Re-Akt,Bauer - Supreme 1S
Scottsdale,AZ,USA,USA,L,MATTHEW.TKACHUK,Matthew Tkachuk,Tkachuk,Matthew,LW,CGY,Upper body,,RFA,Warrior - Alpha QX,Bauer - Vapor 1X,Bauer,Bauer - IMS 9.0,Bauer - Vapor 1X 2.0
Buffalo,NY,USA,CAN,L,MARCUS.FOLIGNO,Marcus Foligno,Foligno,Marcus,LW,MIN,Facial,,UFA,Warrior - Covert QR EDGE,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
